user_id,item_id,rating
2923,8644,3
2923,11639,5
2923,4494,5
2923,6413,5
4599,11215,3
4599,5133,5
4599,7559,5
7267,5910,3
7267,9687,3
7267,6291,4
7267,4300,4
7267,9056,3
7267,1796,3
7267,1891,2
7267,11007,3
7267,10797,3
5366,6664,2
5366,1233,2
5366,11118,4
5366,12593,4
5366,3609,3
5366,2501,3
688,11995,4
688,8189,3
688,1884,5
688,1129,2
3527,8119,5
3527,11448,5
3527,10402,4
3527,6171,5
3527,843,4
3527,2219,5
5737,12219,4
5737,4530,4
5737,5208,5
5737,7741,4
5737,4381,4
5737,1129,4
6571,12136,4
6571,1165,3
6571,12609,3
6571,484,4
7749,136,3
7749,9101,5
7749,10292,5
7749,9583,4
7749,11537,5
7749,6585,4
7749,2153,4
5007,1124,4
5007,3833,5
5007,7175,4
5007,8006,4
8764,666,4
8764,4936,3
8764,3367,3
8764,12136,3
8953,6456,4
8953,3572,3
8953,6925,4
8953,7835,3
8953,10458,4
8953,9583,3
8953,2303,3
4834,1469,4
4834,3367,4
4834,10403,4
4834,5623,5
9334,1138,3
9334,11852,3
9334,4074,3
9334,5443,5
9334,2553,4
9334,5805,3
208,2838,5
208,10477,3
208,8017,5
208,9319,5
208,8381,5
208,7718,4
208,4338,5
208,7972,3
208,9957,5
208,5322,4
208,1036,5
208,10396,4
208,3198,4
208,11162,5
208,3001,5
208,10486,5
208,5847,4
208,2233,2
208,1737,4
208,12441,5
208,9084,5
208,11464,5
208,6203,4
208,1859,4
208,10635,5
208,3609,4
208,6921,5
208,4622,3
208,2834,4
208,8142,5
208,5002,3
208,8337,4
208,1591,5
208,5201,3
208,4280,5
208,6596,5
208,12045,5
208,9898,5
208,163,5
208,11514,5
208,7875,5
208,8356,5
208,1767,5
208,4897,3
208,4098,3
208,6870,3
3666,5895,5
3666,4659,4
3666,6548,3
3666,6523,5
9402,9123,3
9402,3569,4
9402,945,4
8204,5636,4
8204,9115,4
8204,3367,4
8204,3826,4
4323,2166,5
4323,9877,3
4323,6171,4
4323,4614,3
4323,11743,3
4323,3388,3
6331,1697,3
6331,601,5
6331,6337,5
6331,5443,5
6331,10674,3
2112,2695,3
2112,3572,4
2112,5852,3
2112,7894,3
2870,6171,5
2870,8691,5
2870,12353,4
2870,12086,5
2870,4657,4
2870,3245,5
2870,6180,4
2870,8071,5
2870,11545,4
2870,9064,5
2870,9226,5
2870,8103,5
2870,5823,3
2870,10097,5
2870,10633,4
2870,7432,5
2870,5439,3
2870,2826,5
2870,7878,5
2870,10612,4
1987,2644,4
1987,11014,3
1987,10290,3
1987,10520,5
7030,10962,4
7030,1571,5
7030,5417,5
5494,10234,3
5494,601,3
5494,9319,4
5494,7666,4
5494,5277,3
5494,3698,3
5494,7509,3
5494,2875,5
5494,8615,5
5494,58,5
5494,7254,4
5494,5406,5
2875,4466,5
2875,4440,5
2875,1165,5
2875,9945,5
2875,11994,5
4579,7971,5
4579,5694,4
4579,7939,5
4579,928,5
4579,7998,5
6971,1697,4
6971,7586,4
6971,1469,4
6971,10930,2
6971,686,3
6971,1664,5
6971,2006,4
6971,6661,4
6971,7047,4
8701,4005,3
8701,2473,4
8701,3833,5
8701,7666,5
8701,762,5
8701,6921,4
8701,7599,3
8701,8071,3
8701,5280,4
8701,2251,4
8701,9319,4
8701,7528,4
8701,11386,5
8701,3344,5
8701,9583,5
8701,2209,5
42,9618,4
42,1603,3
42,1588,5
42,1341,3
42,12474,4
3627,3575,5
3627,149,5
3627,6519,3
3627,532,2
3688,8442,5
3688,11545,5
3688,4050,5
3688,4809,4
3688,10148,4
3688,6195,5
3688,3617,5
3688,12218,5
3688,6940,5
3688,11096,5
3688,3221,5
8492,6333,3
8492,2826,4
8492,10838,5
8492,7666,4
8492,11662,5
256,10609,5
256,6910,5
256,767,4
256,8693,3
256,12541,5
256,193,5
6506,2474,2
6506,4050,5
6506,11168,3
6506,11818,2
8541,8017,4
8541,6318,4
8541,6430,4
8541,4050,4
8541,10815,4
8541,4440,4
8672,1747,4
8672,7951,4
8672,6879,5
8672,1576,5
8672,58,5
8672,5280,5
8672,11386,4
8672,1469,4
8924,4988,5
8924,8894,5
8924,6731,4
8924,7666,4
8924,307,5
2359,7085,3
2359,2309,2
2359,8411,4
2359,1625,5
5313,58,5
5313,158,4
5313,9109,5
5313,6114,5
5313,12421,4
5313,7528,5
5313,6656,5
5313,11635,4
5313,376,5
5313,3790,4
5313,357,5
5313,2436,5
8195,5939,3
8195,3984,5
8195,5343,3
8195,1148,3
8195,12674,4
8195,6526,3
8195,6937,3
8195,7951,5
8195,9399,3
8195,6227,2
8195,12213,4
8195,3221,2
8195,7722,4
8195,3005,5
8195,12100,4
8195,857,3
8195,3049,4
8195,135,4
8195,1726,4
8195,1364,4
8195,7515,2
8195,4944,4
8195,4768,5
8195,776,2
8195,6041,4
8195,10756,5
8195,4325,4
8195,5155,4
8195,1280,5
8195,10168,2
8195,7997,4
8195,8615,4
8195,3193,3
8195,2997,5
8195,901,4
8195,2709,2
8195,3534,4
8195,6896,5
8195,2278,3
8195,8805,5
8195,2980,4
8195,8119,4
8195,10402,4
8195,9223,2
8195,1234,3
8195,6100,5
9262,3121,4
9262,3897,5
9262,8350,4
9262,9440,4
9262,11822,5
9262,8706,3
9262,5093,4
9262,3839,3
3336,3468,5
3336,9133,4
3336,11220,5
3336,9319,5
8777,5277,5
8777,10959,5
8777,5443,5
8777,601,5
8777,7023,5
4239,12117,3
4239,4595,5
4239,2840,5
4239,6817,5
1762,5280,3
1762,8691,5
1762,8518,4
1762,7907,3
1762,4885,5
7733,5674,4
7733,11017,4
7733,10765,3
7733,3255,5
7733,9239,4
7733,4079,4
7733,4641,4
7733,10498,4
7733,3365,4
7733,923,4
7733,2847,4
7733,8659,4
7733,9385,5
7733,7841,5
7733,1266,3
7733,7370,4
7733,5388,4
7733,6006,3
7733,4979,5
7733,8336,3
3866,9378,5
3866,12593,5
3866,1033,4
3866,8527,3
3866,7175,3
3866,4440,5
3866,3001,5
3866,3833,3
3866,3049,5
3866,9133,3
3866,6090,2
3866,3572,5
8331,8716,5
8331,5443,5
8331,1165,5
8331,7666,4
3046,136,4
3046,2826,4
3046,3978,3
3046,999,4
1757,11230,4
1757,5342,3
1757,5115,5
1757,4902,4
1757,8344,3
7860,68,3
7860,860,5
7860,6023,5
7860,765,3
7860,11207,3
7860,8778,5
7860,409,5
7860,8597,4
